,KGISWardID,KGISWardNa,date,mean,year,month,day
75,5159,Sriramamandir,2019-01-09,0.250169399851316,2019,1,9
76,5162,Shivanagara,2019-01-09,0.2423592374731594,2019,1,9
77,5163,Basaveshwara Nagar,2019-01-09,0.2447340410209299,2019,1,9
78,5166,Kamakshipalya,2019-01-09,0.2153950120818026,2019,1,9
79,5167,Dr. Raj Kumar Ward,2019-01-09,0.247419357047667,2019,1,9
80,5170,Agrahara Dasarahalli,2019-01-09,0.2451743070698798,2019,1,9
81,5171,Govindaraja Nagar,2019-01-09,0.235772226190202,2019,1,9
82,5174,Kaveripura,2019-01-09,0.2253848361880984,2019,1,9
83,5175,Marenahalli,2019-01-09,0.2197815168463412,2019,1,9
84,5178,Maruthi Mandir ward,2019-01-09,0.2190892423891178,2019,1,9
85,5179,Mudalapalya,2019-01-09,0.2289938123874468,2019,1,9
86,5182,Nagarabhavi,2019-01-09,0.2730606644110289,2019,1,9
87,5183,Chandra Layout,2019-01-09,0.3091893013126309,2019,1,9
88,5186,Nayandahalli,2019-01-09,0.2774289523170123,2019,1,9
89,5187,Kempapura Agrahara,2019-01-09,0.2185523343396568,2019,1,9
90,5190,Vijayanagar,2019-01-09,0.2316284039938448,2019,1,9
91,5191,Hosahalli,2019-01-09,0.2372243635174563,2019,1,9
92,5194,Hampi Nagar,2019-01-09,0.2456531704625925,2019,1,9
93,5195,Bapuji Nagar,2019-01-09,0.2272411354062737,2019,1,9
94,5198,Attiguppe,2019-01-09,0.2444054950040919,2019,1,9
95,5199,Gali Anjenaya Temple ward,2019-01-09,0.2356239632909471,2019,1,9
96,5202,Veerabhadranagar,2019-01-09,0.2468398059026156,2019,1,9
97,5203,Avalahalli,2019-01-09,0.202462786027076,2019,1,9
98,5206,Chamrajapet,2019-01-09,0.2307978170132786,2019,1,9
99,5207,Chalavadipalya,2019-01-09,0.2355386913096493,2019,1,9
100,5210,Jagajivanaram Nagar,2019-01-09,0.210016274231776,2019,1,9
101,5211,Padarayanapura,2019-01-09,0.2053600594964995,2019,1,9
102,5214,Devaraj Urs Nagar,2019-01-09,0.1886734428177874,2019,1,9
103,5215,Azad Nagar,2019-01-09,0.2210610090061769,2019,1,9
104,5218,Sudham Nagara,2019-01-09,0.2409959970260587,2019,1,9
105,5219,Dharmaraya Swamy Temple Ward,2019-01-09,0.255007813940785,2019,1,9
106,5222,Sunkenahalli,2019-01-09,0.2487884626207221,2019,1,9
107,5223,Vishveshwara Puram,2019-01-09,0.2696969491271498,2019,1,9
108,5226,Ashoka Pillar,2019-01-09,0.2972137125884673,2019,1,9
109,5227,Someshwara Nagar,2019-01-09,0.2601936722065507,2019,1,9
110,5230,Hombegowda Nagara,2019-01-09,0.302681126654381,2019,1,9
111,5231,Domlur,2019-01-09,0.3129691783143269,2019,1,9
112,5234,Jogupalya,2019-01-09,0.3240553902549703,2019,1,9
113,5235,Agaram,2019-01-09,0.3784699072577197,2019,1,9
114,5238,Shantala Nagar,2019-01-09,0.3261989186434779,2019,1,9
115,5239,Shanthi Nagar,2019-01-09,0.3146483608080068,2019,1,9
116,5242,Neelasandra,2019-01-09,0.3151475043879183,2019,1,9
117,5243,Vannarapete,2019-01-09,0.3430994846649013,2019,1,9
118,5246,Ejipura,2019-01-09,0.3070058468091536,2019,1,9
119,5247,Koramangala,2019-01-09,0.286792843421857,2019,1,9
120,5250,Adugodi,2019-01-09,0.2949320685048837,2019,1,9
121,5251,Lakkasandra,2019-01-09,0.2955572769709788,2019,1,9
122,5254,Suddagunte Palya,2019-01-09,0.235514432248115,2019,1,9
123,5255,Madivala,2019-01-09,0.2066799580616438,2019,1,9
124,5258,Jakkasandra,2019-01-09,0.2567566381768116,2019,1,9
125,5259,BTM Layout,2019-01-09,0.2499122800314316,2019,1,9
126,5262,N S Palya,2019-01-09,0.2386809672901396,2019,1,9
127,5263,Gurappanapalya,2019-01-09,0.2003523861062728,2019,1,9
128,5266,Tilak Nagar,2019-01-09,0.2178414388599757,2019,1,9
129,5267,Byrasandra,2019-01-09,0.2736284799927045,2019,1,9
130,5270,Shakambari Nagar,2019-01-09,0.2693099238821437,2019,1,9
131,5271,J P Nagar,2019-01-09,0.2503012053302009,2019,1,9
132,4878,Kempegowda Ward,2019-01-09,0.2813308008413094,2019,1,9
133,4879,Chowdeswari Ward,2019-01-09,0.329550116928393,2019,1,9
134,4882,Someshwara Ward,2019-01-09,0.3140045601150643,2019,1,9
135,4883,Atturu Layout,2019-01-09,0.2837550184642998,2019,1,9
136,4886,Yelahanka Satellite Town,2019-01-09,0.3320036428913143,2019,1,9
137,4887,Kogilu,2019-01-09,0.2805833046074919,2019,1,9
138,4890,Thanisandra,2019-01-09,0.2475318561547951,2019,1,9
139,4891,Jakkuru,2019-01-09,0.252109722551046,2019,1,9
140,4894,Amrutahalli,2019-01-09,0.2701316405758113,2019,1,9
141,4895,Kempapura,2019-01-09,0.2679091246368626,2019,1,9
142,4898,Byatarayanapura,2019-01-09,0.314509699414477,2019,1,9
143,4899,Kodigehalli,2019-01-09,0.2911429938498435,2019,1,9
144,4902,Dodda Bommasandra,2019-01-09,0.2986901419603054,2019,1,9
145,4903,Vidyaranyapura,2019-01-09,0.2760013564271082,2019,1,9
146,4906,Kuvempunagar,2019-01-09,0.344363457308669,2019,1,9
147,4907,Kammagondanahalli,2019-01-09,0.3248850904652587,2019,1,9
148,4910,Shettihalli,2019-01-09,0.2995190759835641,2019,1,9
149,4911,Bagalakunte,2019-01-09,0.2825994501710351,2019,1,9
150,4914,Defence Colony,2019-01-09,0.2419759874705172,2019,1,9
151,4915,Mallasandra,2019-01-09,0.2672147829731343,2019,1,9
152,4918,T Dasarahalli,2019-01-09,0.2447030155629141,2019,1,9
153,4919,Chokkasandra,2019-01-09,0.2737965239976753,2019,1,9
154,4922,Nelagadderanahalli,2019-01-09,0.2573476283256802,2019,1,9
155,4923,Rajagopal Nagar,2019-01-09,0.2396967981656122,2019,1,9
156,4926,Rajeshwari Nagar,2019-01-09,0.2058154149650708,2019,1,9
157,4927,Hegganahalli,2019-01-09,0.2160471785908464,2019,1,9
